Class,Sex,Age,Survived
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
1,Male,Adult,0
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,1
2,Female,Adult,0
2,Female,Adult,0
2,Female,Adult,0
2,Female,Adult,0
2,Female,Adult,0
2,Female,Adult,0
2,Female,Adult,0
2,Female,Adult,0
2,Female,Adult,0
2,Female,Adult,0
2,Female,Adult,0
2,Female,Adult,0
2,Female,Adult,0
2,Male,Child,1
2,Male,Child,1
2,Male,Child,1
2,Male,Child,1
2,Male,Child,1
2,Male,Child,1
2,Male,Child,1
2,Male,Child,1
2,Male,Child,1
2,Male,Child,1
2,Male,Child,1
2,Female,Child,1
2,Female,Child,1
2,Female,Child,1
2,Female,Child,1
2,Female,Child,1
2,Female,Child,1
2,Female,Child,1
2,Female,Child,1
2,Female,Child,1
2,Female,Child,1
2,Female,Child,1
2,Female,Child,1
2,Female,Child,1
2,Male,Adult,1
2,Male,Adult,1
2,Male,Adult,1
2,Male,Adult,1
2,Male,Adult,1
2,Male,Adult,1
2,Male,Adult,1
2,Male,Adult,1
2,Male,Adult,1
2,Male,Adult,1
2,Male,Adult,1
2,Male,Adult,1
2,Male,Adult,1
2,Male,Adult,1
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
2,Male,Adult,0
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Female,Adult,1
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,0
3,Male,Child,1
3,Male,Child,1
3,Male,Child,1
3,Male,Child,1
3,Male,Child,1
3,Male,Child,1
3,Male,Child,1
3,Male,Child,1
3,Male,Child,1
3,Male,Child,1
3,Male,Child,1
3,Male,Child,1
3,Male,Child,1
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,0
3,Female,Child,1
3,Female,Child,1
3,Female,Child,1
3,Female,Child,1
3,Female,Child,1
3,Female,Child,1
3,Female,Child,1
3,Female,Child,1
3,Female,Child,1
3,Female,Child,1
3,Female,Child,1
3,Female,Child,1
3,Female,Child,1
3,Female,Child,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Male,Adult,1
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Female,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
3,Male,Adult,0
